,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
탄소배출권(-11~-15),0.01939032877969762,0.011271671233291793,0.017413625,0.021244202042857145,0.012142231784019191,0.0185209195,0.0018538732631595244,9.560813971863114,-0.16278385396781325,0.23277007781376619
생우(-1~-5),0.007396128308855291,0.005233783618414106,0.006310162,0.006569433142857144,0.0054390587190313805,0.004448073,-0.0008266951659981472,-11.177404332052426,0.15713917837241662,0.23679712943460263
육우(-16~-20),0.007443495736501079,0.005068145340472017,0.006514494,0.008175846585714285,0.0036144730360123853,0.007658318,0.0007323508492132055,9.83880256183847,-0.14934746095934073,0.13939978633294126
런던_설탕(-6~-10),0.011949809885529157,0.006536248405860944,0.010719431,0.012977387871428573,0.009706408079445087,0.0111615435,0.001027577985899416,8.599115766216334,-0.1461812515905809,0.39412685921482393
런던 코코아 선물 과거 데이터(-11~-15),0.010982605066954644,0.006680502908619025,0.009774788,0.010054398157142859,0.004816324208028791,0.0099181655,-0.0009282069098117858,-8.451609651380894,0.14349190884141444,0.15858709295026774
육우(-1~-5),0.007421727904967602,0.0050807169902983805,0.006485108,0.008086405985714286,0.003982124738814598,0.0071722885,0.0006646780807466838,8.955840058509734,-0.134230693551261,0.213674230544978
런던 코코아 선물 과거 데이터(-16~-20),0.00939134664362851,0.005441956942067714,0.008626223,0.010102538900000003,0.005575246444538264,0.009879289,0.0007111922563714929,7.572846401681872,-0.1302678516392075,0.3210430208260095
6~10일 수익률 표준편차,0.051149931282937364,0.03375886827307979,0.041132384,0.04687771061428571,0.031379952564294634,0.0371836955,-0.004272220668651655,-8.352348794018392,0.12768407811361834,0.29600428396425377
런던_커피(-1~-5),0.009755318760259181,0.004947481975929234,0.00890206,0.0091603952,0.0044028216796689204,0.008653515,-0.0005949235602591817,-6.09845331433717,0.12190695793984839,0.30279107878102063
현미(-6~-10),0.008919480628509717,0.00761019172223336,0.00765876,0.008037202914285715,0.00522367019789262,0.006899026,-0.0008822777142240019,-9.891581707167342,0.12013503569022749,0.22130110713525283
16~20일 수익률 표준편차,0.04283010309719222,0.033052569813596215,0.036158083,0.04679466587142857,0.03787445453583423,0.0309851715,0.0039645627742363465,9.25648664734652,-0.11757950435642332,0.40921766454329433
미국_설탕(-1~-5),0.012504474053995681,0.006882081735006279,0.011237542,0.011697031142857145,0.007229223534316243,0.010244755500000001,-0.0008074429111385364,-6.45723208870609,0.1165448391955318,0.38319130347217867
런던_설탕(-16~-20),0.010131470356371488,0.005971927357594123,0.00901808,0.010824317442857142,0.007004534145062141,0.009265557,0.0006928470864856536,6.838564019978949,-0.1132848818000069,0.43432791598663256
돈육(-1~-5),0.01606358237149028,0.016371889398266455,0.011414526,0.014291122399999998,0.011133306908903325,0.011083616,-0.0017724599714902811,-11.034026722682054,0.11225400781391187,0.2498575049149164
돈육(-16~-20),0.014529842164146867,0.013519803691231312,0.011632018,0.01587813352857143,0.016478025419969837,0.009808708,0.0013482913644245614,9.27946325357573,-0.09672285953454576,0.5160606995321687
11~15일 수익률 표준편차,0.04235591738660906,0.029719303001448066,0.034540599,0.040290397642857134,0.027993742586657253,0.033125552,-0.002065519743751923,-4.876578932050101,0.07001575825430786,0.5696145096154566
런던 코코아 선물 과거 데이터(-6~-10),0.01202887852699784,0.007476172801478957,0.010236257,0.011533156428571431,0.005934583554483295,0.010976886,-0.0004957220984264082,-4.121099879043589,0.06796025831614912,0.5316125207104075
미국10년물국채금리수익률(-20),0.020081180751619868,0.10568705975111209,0.013664596,0.027127511142857136,0.13112121220302578,0.026322543,0.007046330391237268,35.0892234793956,-0.06445184041474282,0.6690072420769586
런던 코코아 선물 과거 데이터(-1~-5),0.010180461565874729,0.00688778852387989,0.008626223,0.01056391102857143,0.005124567260816949,0.0094973995,0.0003834494626967014,3.766523356681957,-0.05735958720492472,0.5801273755625785
putcall(-20),0.010720683021598272,0.2192300808898008,0.0,0.022172484614285712,0.2211784887396574,-0.02970297,0.01145180159268744,106.8197014091008,-0.05217596265693832,0.6870092207102287
육우(-11~-15),0.008104712043196545,0.00537704543231205,0.00690912,0.007832481028571429,0.005346839388174147,0.0073071015,-0.0002722310146251166,-3.3589227251280245,0.0506652578744324,0.6924924813486704
런던_커피(-11~-15),0.01008294491360691,0.005104025954400168,0.009203107,0.009896124685714287,0.00496555984228073,0.008615258,-0.0001868202278926239,-1.8528339636221798,0.036730472284568626,0.7707142288838265
런던_커피(-16~-20),0.009528673762419004,0.004950871521222757,0.008574397,0.009374197057142857,0.004431858852841005,0.0084426995,-0.00015447670527614712,-1.621177397062346,0.031612654985723236,0.7896659083893293
현미(-1~-5),0.008182211060475161,0.007177530875455179,0.006804495,0.00831023457142857,0.00541479105209579,0.007347638,0.00012802351095340947,1.564656668071513,-0.018358027264373383,0.8607501187957738
원목(-11~-15),0.021173752552915762,0.019834687202367408,0.016485479,0.0208505028,0.010772641841874129,0.020019353,-0.00032324975291576213,-1.5266531150202214,0.017099259790691625,0.8385231444119922
